hidden_size,num_layers,dropout,bidirectional,best_val_acc
128,1,0.3,False,0.68
128,1,0.3,True,0.76
128,1,0.5,False,0.72
128,1,0.5,True,0.76
128,1,0.7,False,0.6
128,1,0.7,True,0.72
128,2,0.3,False,0.6
128,2,0.3,True,0.68
128,2,0.5,False,0.6
128,2,0.5,True,0.64
128,2,0.7,False,0.56
128,2,0.7,True,0.6
128,3,0.3,False,0.76
128,3,0.3,True,0.6
128,3,0.5,False,0.6
128,3,0.5,True,0.64
128,3,0.7,False,0.56
128,3,0.7,True,0.52
256,1,0.3,False,0.64
256,1,0.3,True,0.72
256,1,0.5,False,0.68
256,1,0.5,True,0.64
256,1,0.7,False,0.64
256,1,0.7,True,0.56
256,2,0.3,False,0.56
256,2,0.3,True,0.52
256,2,0.5,False,0.68
256,2,0.5,True,0.6
256,2,0.7,False,0.72
256,2,0.7,True,0.72
256,3,0.3,False,0.72
256,3,0.3,True,0.52
256,3,0.5,False,0.52
256,3,0.5,True,0.56
256,3,0.7,False,0.52
256,3,0.7,True,0.52
512,1,0.3,False,0.68
512,1,0.3,True,0.72
512,1,0.5,False,0.72
512,1,0.5,True,0.64
512,1,0.7,False,0.6
512,1,0.7,True,0.52
512,2,0.3,False,0.6
512,2,0.3,True,0.52
512,2,0.5,False,0.68
512,2,0.5,True,0.52
512,2,0.7,False,0.52
512,2,0.7,True,0.52
512,3,0.3,False,0.52
512,3,0.3,True,0.52
512,3,0.5,False,0.52
512,3,0.5,True,0.52
512,3,0.7,False,0.52
512,3,0.7,True,0.52
